id,address,cat1Code,cat1Desc,cat1TypeCode,cat1TypeDesc,cat2Code,cat2Desc,cat2TypeCode,cat3Code,cat3Desc,cat3TypeCode,cat4Code,cat4Desc,cat4TypeCode,cat5Code,cat5Desc,cat5TypeCode,cat6Code,cat6Desc,cat6TypeCode,contractType,councilCode,councilDesc,createdAt,detailText,devTypeCode,devTypeDesc,endDateDesc,endDateDetail,endDateGac,finalisedFlag,firstIssueDate,firstIssueNumber,floorArea,lastIssueDate,lastIssueNumber,notes,ownerCode,ownerDesc,parking,postCode,projectId,publishDate,reference,regionCode,regionDesc,sectionCode,sectionDesc,siteArea,stageCode,stageDesc,stageText,stageTypeCode,stageTypeDesc,startDateDetail,startDateGac,stateCode,stateDesc,statusCode,statusDesc,storeys,suburb,tenderCloseDate,tenderCloseTime,tenderRoleCode,tenderTypeCode,tenderTypeDesc,title,type,units,value,valueDesc,valueGac,projectvalue
1,8 Glacier Hill Alley,,,,,,,,,,,,,,,,,,,,Legal,,BAYER,1565809690,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,,,,,,,,,,,1,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,"",ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,,,1,1565866538,,,,,,,,,,,,,,,,,Youfeed,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,Greece,,,,,,Services,Games,33,19015,,,79
2,50 Erie Trail,,,,,,,,,,,,,,,,,,,,Marketing,,Cantaloupe,1567257933,sit amet eleifend pede libero quis orci nullam molestie nibh,,,,,,,,,,,2,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,"",quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,,,2,1571341010,,,,,,,,,,,,,,,,,Eare,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,China,,,,,,Human Resources,Electronics,71,29661,,,2
3,19851 Almo Place,,,,,,,,,,,,,,,,,,,,Services,,Para Grass Pollen,1574320110,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,,,,,,,,,,,3,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,"",vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,,,3,1581365305,,,,,,,,,,,,,,,,,Rhynyx,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,China,,,,,,Training,Electronics,61,1538,,,36
4,4484 Fieldstone Alley,,,,,,,,,,,,,,,,,,,,Business Development,,night time,1567821153,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in,,,,,,,,,,,4,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,"",aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,,83-047,4,1568400531,,,,,,,,,,,,,,,,,Kare,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,Poland,,,,,,Services,Baby,17,72324,,,51
5,26 Dahle Point,,,,,,,,,,,,,,,,,,,,Engineering,,Imipramine Pamoate,1578932975,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,,,,,,,,,,,5,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,"",vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,,,5,1585139707,,,,,,,,,,,,,,,,,Flipstorm,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,China,,,,,,Sales,Electronics,19,76025,,,26
6,171 Arapahoe Point,,,,,,,,,,,,,,,,,,,,Business Development,,mesna,1571180227,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,,,,,,,,,,,6,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,"",fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in,,,6,1587909261,,,,,,,,,,,,,,,,,Yodoo,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,China,,,,,,Business Development,Kids,36,68221,,,29
7,5708 Stang Center,,,,,,,,,,,,,,,,,,,,Legal,,Citalopram,1589050816,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,,,,,,,,,,,7,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,"",dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,,,7,1568497508,,,,,,,,,,,,,,,,,Cogilith,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,Kazakhstan,,,,,,Marketing,Games,27,36755,,,29
8,26 Jana Lane,,,,,,,,,,,,,,,,,,,,Accounting,,PANADOL,1564762303,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,,,,,,,,,,,8,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,"",mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,,,8,1570395559,,,,,,,,,,,,,,,,,Gabtune,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in,Saudi Arabia,,,,,,Product Management,Automotive,55,97473,,,97
9,967 4th Point,,,,,,,,,,,,,,,,,,,,Support,,Istalol,1576964970,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,,,,,,,,,,,9,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec,"",sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,,2733,9,1590662661,,,,,,,,,,,,,,,,,Browsetype,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,Philippines,,,,,,Services,Home,48,39028,,,40
10,60622 Schmedeman Way,,,,,,,,,,,,,,,,,,,,Sales,,Sulfacetamide Sodium and Prednisolone Sodium Phosphate,1587270248,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,,,,,,,,,,,10,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,"",amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,,477027,10,1581552831,,,,,,,,,,,,,,,,,Jaxbean,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras,Colombia,,,,,,Training,Baby,67,92222,,,12
